Host:,dell01,,,,User:,daniel,,,,,,,
4.082,1.02,93.367,1.531,0,0,0,126976,2945,358,0,0,870,1316
2.041,0.51,97.449,0,0,0,0,0,3192,358,0,0,800,1236
4.082,1.02,94.898,0,0,0,0,0,2108,436,0,0,876,1333
2.525,1.01,96.465,0,0,0,0,0,1428,280,0,0,719,1200
2.02,1.515,96.465,0,0,0,0,0,0,0,0,0,752,1158
1.515,1.01,96.97,0,0,0.505,0,0,2108,436,0,0,793,1189
1.554,0.518,96.373,1.554,0,0,0,102400,0,0,0,0,1039,1506
4.061,1.523,94.416,0,0,0,0,0,3757,646,0,0,741,1133
10.152,1.523,88.325,0,0,0,0,53248,2108,436,0,0,802,1304
2.564,1.026,96.41,0,0,0,0,0,0,0,0,0,998,1340
2.03,1.523,96.447,0,0,0,0,0,3073,358,0,0,946,1383
2.03,1.523,94.924,1.523,0,0,0,114688,5300,858,0,0,812,1299
2.02,1.515,96.465,0,0,0,0,0,0,0,0,0,835,1283
1.026,1.026,97.436,0,0,0.513,0,0,0,0,0,0,803,1271
4.061,0.508,95.431,0,0,0,0,0,10136,1192,0,0,888,1320
2.041,1.531,96.429,0,0,0,0,0,4014,518,0,0,837,1220
2.041,1.02,94.898,2.041,0,0,0,98304,4014,518,0,0,895,1333
3.046,1.015,95.939,0,0,0,0,0,7189,1354,0,0,775,1320
2.03,1.523,96.447,0,0,0,0,516096,2166,2541,0,0,1005,1327
2.591,1.036,96.373,0,0,0,0,0,4015,378,0,0,988,1298
2.564,0.513,96.923,0,0,0,0,0,9068,1066,0,0,993,1264
1.036,0,98.964,0,0,0,0,0,2591,358,0,0,783,1170
3.518,1.005,93.467,2.01,0,0,0,139264,4015,272,0,0,810,1270
1.538,0.513,97.949,0,0,0,0,0,2108,436,0,0,736,1245
2.03,1.015,96.954,0,0,0,0,0,0,0,0,0,741,1235
1.523,2.03,96.447,0,0,0,0,0,0,0,0,0,805,1368
3.061,0.51,96.429,0,0,0,0,0,2108,436,0,0,828,1357
2.564,0.513,95.385,1.538,0,0,0,106496,1130,576,0,0,849,1296
2.577,1.031,96.392,0,0,0,0,159744,4156,342,0,0,919,1344
1.026,1.538,96.923,0,0,0.513,0,0,6124,814,0,0,933,1360
2.538,1.015,96.447,0,0,0,0,0,2719,358,0,0,919,1325
9.184,2.551,87.755,0,0,0.51,0,0,565,288,0,0,1131,1782
1.538,1.026,97.436,0,0,0,0,0,18039,46851,0,0,844,1315
2.051,1.026,94.872,2.051,0,0,0,139264,2327,1024,0,0,907,1348
11.795,2.051,86.154,0,0,0,0,0,719,2650,0,0,2027,1479
61.929,5.584,27.919,0,0,4.569,0,0,1813495,37887,0,0,9170,2960
87.437,8.04,1.508,0,0,3.015,0,0,9255680,170436,0,0,6944,2788
51.515,6.566,41.414,0,0,0.505,0,0,6706068,85123,0,0,1165,1526
2.041,1.531,94.898,1.531,0,0,0,180224,2793,2313,0,0,970,1343
2.564,1.026,96.41,0,0,0,0,0,0,0,0,0,961,1320
17.617,3.109,78.756,0,0,0.518,0,0,565,358,0,0,4454,2227
64.433,2.062,31.959,0,0,1.546,0,0,4506579,99284,0,0,5105,2472
6.599,1.015,91.878,0,0,0.508,0,0,4380022,85874,0,0,1028,1596
3.571,1.02,94.388,1.02,0,0,0,487424,5255,16400,0,0,964,1329
1.531,1.02,93.367,4.082,0,0,0,270336,2108,436,0,0,1010,1299
0.515,0.515,98.969,0,0,0,0,0,0,0,0,0,875,1238
2.551,1.531,95.918,0,0,0,0,0,0,0,0,0,824,1316
1.546,0.515,97.423,0,0,0.515,0,0,2673,794,0,0,845,1352
2.051,0.513,97.436,0,0,0,0,0,1993,638,0,0,942,1289
1.036,1.036,95.855,2.073,0,0,0,110592,0,0,0,0,1059,1302
1.026,2.051,96.923,0,0,0,0,0,2801,724,0,0,1033,1334
1.538,0.513,97.949,0,0,0,0,0,2387,358,0,0,863,1251
2.551,0.51,96.939,0,0,0,0,0,0,0,0,0,954,1306
1.026,0.513,98.462,0,0,0,0,0,2248,506,0,0,874,1235
1.554,0,96.891,1.554,0,0,0,98304,0,0,0,0,842,1313
1.531,1.02,97.449,0,0,0,0,0,0,0,0,0,877,1268
2.041,0.51,97.449,0,0,0,0,0,2108,436,0,0,808,1313
1.031,0.515,97.938,0,0,0.515,0,0,565,288,0,0,805,1310
1.531,1.531,96.429,0,0,0.51,0,0,565,352,0,0,887,1366
1.026,1.538,97.436,0,0,0,0,0,2108,436,0,0,871,1290
1.538,0.513,96.41,1.538,0,0,0,98304,565,288,0,0,892,1289
2.041,1.02,96.939,0,0,0,0,0,2387,358,0,0,886,1271
2.051,1.026,96.923,0,0,0,0,0,2108,436,0,0,870,1320
1.523,2.03,96.447,0,0,0,0,0,1428,280,0,0,919,1305
1.546,0.515,97.938,0,0,0,0,0,0,0,0,0,885,1263
2.03,1.015,95.939,1.015,0,0,0,102400,2108,436,0,0,913,1260
3.535,1.515,94.949,0,0,0,0,0,0,0,0,0,845,1295
2.041,0.51,97.449,0,0,0,0,0,565,288,0,0,868,1216
2.041,0.51,97.449,0,0,0,0,0,2673,724,0,0,831,1190
3.061,1.02,95.918,0,0,0,0,0,0,0,0,0,807,1260
1.531,0.51,96.429,1.531,0,0,0,102400,693,288,0,0,753,1142
2.03,2.03,95.939,0,0,0,0,0,4495,794,0,0,666,1166
1.026,0.513,98.462,0,0,0,0,0,0,0,0,0,769,1157
1.026,1.026,97.949,0,0,0,0,0,0,0,0,0,802,1164
3.03,1.01,95.96,0,0,0,0,65536,2108,436,0,0,817,1166
4.04,1.01,94.949,0,0,0,0,0,0,0,0,0,904,1162
3.5,1,93,2.5,0,0,0,126976,0,0,0,0,890,1217
2.03,1.015,96.447,0,0,0.508,0,0,2673,724,0,0,848,1227
3.046,0.508,96.447,0,0,0,0,0,1993,632,0,0,793,1143
1.523,2.03,96.447,0,0,0,0,610304,0,0,0,0,882,1173
2.041,1.02,96.939,0,0,0,0,0,2673,724,0,0,811,1162
1.523,1.015,96.447,1.015,0,0,0,122880,2387,358,0,0,769,1126
3.046,1.523,95.431,0,0,0,0,0,0,0,0,0,822,1178
1.02,1.02,97.959,0,0,0,0,0,2172,436,0,0,783,1110
1.531,0.51,97.959,0,0,0,0,0,0,0,0,0,796,1142
1.538,0.513,97.949,0,0,0,0,0,0,0,0,0,929,1254
8.081,1.01,89.394,1.515,0,0,0,102400,2108,436,0,0,880,1334
2.041,1.02,96.939,0,0,0,0,0,565,288,0,0,853,1293
1.546,0.515,97.938,0,0,0,0,0,565,288,0,0,904,1275
2.525,1.515,95.96,0,0,0,0,0,2108,436,0,0,846,1236
3.046,0.508,96.447,0,0,0,0,0,693,288,0,0,886,1220
1.531,1.02,96.939,0.51,0,0,0,98304,2387,358,0,0,780,1177
1.026,0.513,97.949,0,0,0.513,0,0,2108,500,0,0,809,1200
1.523,1.523,96.954,0,0,0,0,0,1428,280,0,0,852,1199
1.036,0.518,98.446,0,0,0,0,0,96,0,0,0,811,1215
0.513,1.026,98.462,0,0,0,0,0,2204,436,0,0,805,1152
3.015,1.005,94.472,1.508,0,0,0,102400,96,0,0,0,814,1227
1.031,0.515,98.454,0,0,0,0,0,565,288,0,0,901,1142
0.51,1.531,97.959,0,0,0,0,0,2673,724,0,0,806,1171
8.04,1.005,90.955,0,0,0,0,0,0,0,0,0,796,1212
1.538,0.513,97.949,0,0,0,0,0,565,288,0,0,871,1170
1.538,0.513,96.923,1.026,0,0,0,98304,4495,794,0,0,813,1136
1.508,2.01,96.482,0,0,0,0,0,0,0,0,0,803,1189
2.041,0.51,97.449,0,0,0,0,0,0,0,0,0,858,1267
2.525,0.505,96.97,0,0,0,0,65536,2108,436,0,0,789,1177
1.02,1.02,97.959,0,0,0,0,0,0,0,0,0,806,1136
1.546,0.515,96.392,1.546,0,0,0,110592,0,0,0,0,885,1243
2.041,0.51,97.449,0,0,0,0,0,2673,724,0,0,868,1317
3.03,1.515,95.455,0,0,0,0,0,1993,568,0,0,919,1280
1.554,0.518,97.927,0,0,0,0,364544,0,0,0,0,1064,1333
3.03,1.01,95.96,0,0,0,0,0,2673,724,0,0,1067,1368
1.02,1.02,95.918,2.041,0,0,0,118784,2515,358,0,0,827,1296
2.513,1.005,95.98,0,0,0.503,0,0,0,64,0,0,818,1320
1.031,0.515,98.454,0,0,0,0,0,2108,436,0,0,905,1254
2.041,0.51,97.449,0,0,0,0,176128,0,0,0,0,909,1276
1.026,1.538,97.436,0,0,0,0,0,0,0,0,0,878,1273
3,1.5,93.5,2,0,0,0,98304,2108,436,0,0,843,1300
1.538,0.513,97.949,0,0,0,0,0,565,288,0,0,876,1271
2.525,1.515,95.455,0,0,0.505,0,0,565,288,0,0,973,1371
1.031,1.031,97.938,0,0,0,0,0,2108,436,0,0,845,1266
2.538,0.508,96.954,0,0,0,0,0,565,288,0,0,875,1271
2.03,0.508,97.462,0,0,0,0,0,2387,358,0,0,838,1233
2.525,2.02,94.444,1.01,0,0,0,126976,2108,436,0,0,849,1342
2.02,2.02,95.96,0,0,0,0,0,1428,280,0,0,868,1371
2.03,1.015,96.954,0,0,0,0,0,0,0,0,0,922,1262
0.515,1.031,98.454,0,0,0,0,0,2108,436,0,0,876,1278
3.535,1.01,95.455,0,0,0,0,0,0,0,0,0,822,1329
1.026,1.026,96.41,1.538,0,0,0,102400,565,288,0,0,825,1322
5.102,0,94.898,0,0,0,0,0,2673,724,0,0,755,1262
1.523,1.523,96.954,0,0,0,0,0,0,0,0,0,906,1295
3.518,1.508,94.975,0,0,0,0,0,565,288,0,0,890,1350
1.026,0.513,97.949,0,0,0.513,0,0,4623,794,0,0,880,1258
2.02,1.515,95.455,1.01,0,0,0,98304,0,0,0,0,844,1375
1.531,0.51,97.959,0,0,0,0,0,0,0,0,0,759,1092
11.111,1.01,87.879,0,0,0,0,49152,2108,436,0,0,859,1323
1.523,1.015,97.462,0,0,0,0,0,0,0,0,0,798,1233
1.523,1.523,96.954,0,0,0,0,0,0,0,0,0,787,1261
2.538,1.015,96.447,0,0,0,0,0,2673,724,0,0,971,1302
2.041,1.02,95.408,1.531,0,0,0,114688,1993,568,0,0,875,1286
1.546,1.031,97.423,0,0,0,0,0,0,64,0,0,980,1331
2.5,2,95.5,0,0,0,0,0,2673,724,0,0,837,1282
0.513,1.026,98.462,0,0,0,0,0,2387,358,0,0,785,1224
3.5,1.5,95,0,0,0,0,0,0,0,0,0,901,1333
2.01,1.508,94.975,1.508,0,0,0,98304,2108,436,0,0,795,1284
2.03,1.015,96.954,0,0,0,0,397312,0,0,0,0,857,1256
2.041,1.02,96.939,0,0,0,0,0,0,0,0,0,941,1406
2.525,1.01,96.465,0,0,0,0,0,2108,436,0,0,889,1332
2.03,1.015,96.954,0,0,0,0,0,565,288,0,0,856,1290
1.546,0,95.876,2.062,0,0.515,0,151552,565,288,0,0,914,1305
1.538,0.513,97.949,0,0,0,0,229376,2108,436,0,0,849,1286
5.556,1.515,92.929,0,0,0,0,0,565,288,0,0,870,1353
0.518,0,99.482,0,0,0,0,0,2515,358,0,0,874,1278
1.538,0.513,97.949,0,0,0,0,0,2108,436,0,0,885,1345
1.523,1.523,96.954,0,0,0,0,0,1428,280,0,0,940,1355
1.531,1.02,95.918,1.531,0,0,0,102400,0,0,0,0,936,1293
1.531,1.02,97.449,0,0,0,0,0,2108,436,0,0,1001,1317
2.01,2.01,95.98,0,0,0,0,0,0,64,0,0,889,1302
1.015,2.03,96.954,0,0,0,0,0,565,288,0,0,874,1330
1.531,1.02,97.449,0,0,0,0,0,2673,724,0,0,864,1262
0,1.036,97.927,1.036,0,0,0,102400,0,0,0,0,867,1257
1.523,1.523,96.954,0,0,0,0,0,565,288,0,0,876,1173
1.523,0.508,97.97,0,0,0,0,0,4495,794,0,0,740,1093
2.02,1.01,96.97,0,0,0,0,0,0,0,0,0,842,1194
1.01,1.515,97.475,0,0,0,0,0,0,0,0,0,806,1136
2.551,0.51,95.918,1.02,0,0,0,163840,2108,436,0,0,851,1214
1.515,1.515,96.97,0,0,0,0,0,0,0,0,0,780,1228
2.525,1.01,96.465,0,0,0,0,0,0,0,0,0,788,1183
1.523,1.523,96.954,0,0,0,0,0,2673,724,0,0,765,1201
1.523,1.523,96.954,0,0,0,0,0,1993,568,0,0,918,1282
1.036,0.518,95.855,2.591,0,0,0,692224,0,0,0,0,1003,1354
2.051,1.026,96.923,0,0,0,0,0,2673,724,0,0,1013,1362
1.523,1.015,97.462,0,0,0,0,0,2515,358,0,0,959,1273
2.564,0,97.436,0,0,0,0,0,0,0,0,0,915,1333
0.51,1.02,97.959,0,0,0.51,0,0,2108,436,0,0,879,1243
2.03,1.015,95.431,1.523,0,0,0,135168,0,0,0,0,755,1131
1.523,0.508,97.97,0,0,0,0,0,0,0,0,0,710,1130
1.523,1.523,96.954,0,0,0,0,0,2108,436,0,0,827,1261
1.531,1.02,97.449,0,0,0,0,0,565,288,0,0,946,1334
2.551,1.02,96.429,0,0,0,0,0,565,352,0,0,1010,1341
1.538,1.026,95.897,1.538,0,0,0,102400,2108,436,0,0,992,1327
4.061,1.523,94.416,0,0,0,0,0,565,288,0,0,964,1269
1.523,1.015,97.462,0,0,0,0,0,2387,358,0,0,786,1190
2.513,1.508,95.98,0,0,0,0,0,2108,436,0,0,791,1173
1.508,2.01,95.98,0,0,0.503,0,0,1428,280,0,0,819,1221
2.051,0,97.949,0,0,0,0,0,0,0,0,0,964,1326
1.015,1.015,95.939,1.523,0,0.508,0,102400,2108,436,0,0,864,1282
1.531,1.02,97.449,0,0,0,0,0,0,0,0,0,906,1322
1.026,1.026,97.949,0,0,0,0,0,565,288,0,0,833,1259
1.531,1.02,97.449,0,0,0,0,0,2673,724,0,0,881,1292
2.041,0.51,96.939,0,0,0.51,0,0,0,0,0,0,1006,1338
1.538,1.538,95.897,1.026,0,0,0,102400,565,288,0,0,873,1205
1.015,1.015,97.97,0,0,0,0,0,4623,794,0,0,773,1122
1.02,1.02,97.959,0,0,0,0,0,0,0,0,0,900,1282
1.02,1.02,97.959,0,0,0,0,0,0,0,0,0,858,1295
2.525,1.01,96.465,0,0,0,0,0,2108,436,0,0,895,1285
1.531,1.02,97.449,0,0,0,0,0,0,0,0,0,974,1477
2.03,1.015,95.431,1.523,0,0,0,98304,0,0,0,0,795,1180
10.553,1.005,88.442,0,0,0,0,0,2673,724,0,0,722,1285
3.046,0.508,96.447,0,0,0,0,0,1993,568,0,0,835,1165
2.577,0.515,96.907,0,0,0,0,61440,0,64,0,0,873,1298
1.538,0.513,97.949,0,0,0,0,0,2673,724,0,0,905,1296
0.51,0.51,96.939,1.531,0,0.51,0,114688,2387,358,0,0,840,1340
2.551,1.02,96.429,0,0,0,0,0,0,0,0,0,873,1320
0.51,1.531,97.959,0,0,0,0,0,2108,436,0,0,812,1307
1.031,1.031,97.938,0,0,0,0,552960,0,0,0,0,838,1280
1.523,1.015,97.462,0,0,0,0,0,0,0,0,0,754,1227
3.015,0.503,94.472,2.01,0,0,0,126976,2108,436,0,0,838,1213
1.026,1.026,97.949,0,0,0,0,0,565,288,0,0,844,1252
2.03,1.015,96.954,0,0,0,0,0,565,288,0,0,951,1294
0.518,1.036,98.446,0,0,0,0,57344,2108,436,0,0,963,1317
1.538,1.026,97.436,0,0,0,0,0,565,288,0,0,923,1353
1.523,1.015,95.431,2.03,0,0,0,102400,2515,358,0,0,886,1334
2.538,0,97.462,0,0,0,0,0,2108,436,0,0,806,1242
2.03,1.523,96.447,0,0,0,0,0,1428,344,0,0,736,1183
1.515,1.515,96.97,0,0,0,0,0,0,0,0,0,752,1173
0.515,1.031,98.454,0,0,0,0,0,2108,436,0,0,724,1303
2.03,1.015,96.954,0,0,0,0,0,64,0,0,0,884,1331
1.026,1.026,96.923,1.026,0,0,0,98304,565,288,0,0,786,1313
1.531,1.02,97.449,0,0,0,0,0,2673,724,0,0,784,1337
0.515,0.515,98.969,0,0,0,0,0,0,0,0,0,889,1302
1.523,1.523,96.954,0,0,0,0,0,565,288,0,0,863,1191
1.515,1.01,97.475,0,0,0,0,0,4495,794,0,0,705,1116
2,1,95,2,0,0,0,98304,0,0,0,0,748,1228
28.718,3.077,68.205,0,0,0,0,0,0,0,0,0,1403,1984
59.296,6.533,33.668,0,0,0.503,0,0,476221,1010345,0,0,1222,1527
55.779,2.513,41.709,0,0,0,0,0,0,0,0,0,1182,1524
43.434,1.01,55.051,0,0,0.505,0,77824,0,0,0,0,943,1604
11.168,5.076,82.234,1.015,0,0.508,0,217088,2673,724,0,0,985,1446
